employee_id,age,attrition,businesstravel,$_dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,$_hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,$_monthlyincome,$_monthlyrate,numcompaniesworked,overtime,%_percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,$_salary,remotework
412,52,Yes,non_travel,1032.49, sales ,5,3,,2,male,,3,3, sales executive ,2,single,8339.32,21682.23,9,yes,19,3.0,3,part time,0,,2,2.0,8,,7,7,1971,100071.84,yes
413,39,No,travel_rarely,467.79,,33,2,,1,male,,3,2, manufacturing director ,3,single,3778.33,9823.67,0,,11,3.0,1,,0,,6,,8,,1,7,1984,45340.0,yes
414,34,No,non_travel,876.98,,9,3,,4,male,,3,3, healthcare representative ,4,,7083.33,18416.67,0,,11,,4,part time,1,10.0,0,2.0,9,,1,6,1989,85000.0,yes
415,38,No,non_travel,556.26,,2,2,life sciences,2,female,,3,2, sales executive ,1,,,11681.39,3,,15,3.0,4,,1,11.0,3,3.0,7,,1,7,1985,53914.11,yes
416,36,No,travel_frequently,478.63, sales ,12,3,marketing,12,female,,4,2, sales executive ,1,married,3865.83,10051.17,2,no,16,3.0,4,part time,1,,2,2.0,15,,6,13,1987,46390.0,yes
417,35,No,non_travel,553.33,,1,3,,4,female,,2,2, laboratory technician ,4,,4469.17,11619.83,0,no,12,3.0,2,part time,1,10.0,0,3.0,9,,0,0,1988,53630.0,no
418,55,Yes,non_travel,1582.77,,13,4,,1,male,,4,4, sales executive ,3,,12783.92,33238.2,6,,17,3.0,3,full time,0,,2,2.0,19,,3,8,1968,153407.07,yes
419,34,No,non_travel,556.26,,29,3,,2,male,,3,2, laboratory technician ,3,,4492.84,11681.39,4,,13,3.0,1,part time,2,10.0,1,3.0,8,,7,7,1989,53914.11,no
420,43,No,non_travel,421.06,,6,3,medical,1,female,,2,2, research scientist ,3,single,3400.83,8842.17,1,yes,14,3.0,1,part time,0,20.0,3,1.0,20,,1,8,1980,40810.0,no
421,42,No,travel_rarely,1582.77,,10,3,human resources,3,female,,3,4, manager ,1,married,12783.92,33238.2,0,,14,3.0,3,full time,1,21.0,5,3.0,20,,0,9,1981,153407.07,no
422,26,No,travel_rarely,369.16,,7,3,,3,male,,4,1, laboratory technician ,1,single,,7752.33,0,no,12,3.0,4,full time,0,8.0,2,3.0,7,,0,7,1997,35780.0,yes
423,29,Yes,non_travel,1032.49,,14,1,other,3,female,,3,3, healthcare representative ,4,single,8339.32,21682.23,0,yes,12,3.0,1,part time,0,,1,3.0,8,,7,7,1994,100071.84,yes
424,54,No,non_travel,1787.81, research & development ,1,3,,4,female,223.48,3,4, research director ,4,,,37544.0,6,,19,3.0,4,full time,0,29.0,3,2.0,20,,12,7,1969,173280.0,no
425,55,No,non_travel,1582.77,,1,4,,2,male,,4,4, research director ,4,divorced,12783.92,33238.2,2,no,13,3.0,4,full time,2,31.0,4,4.0,7,,0,0,1968,153407.07,yes
426,40,No,non_travel,556.26,,9,4,other,3,male,,3,2, laboratory technician ,3,,4492.84,11681.39,3,no,11,3.0,3,part time,2,11.0,2,,8,,0,7,1983,53914.11,yes
427,31,No,non_travel,1113.56,,8,2,,1,male,,3,3, sales executive ,4,divorced,8994.17,23384.83,1,,18,,1,full time,1,13.0,5,3.0,13,,9,9,1992,107930.0,yes
428,46,Yes,non_travel,1032.49,,9,3,marketing,1,male,,3,3, sales executive ,4,divorced,8339.32,21682.23,4,no,11,3.0,1,,1,28.0,1,4.0,7,,4,3,1977,,yes
429,45,No,travel_rarely,1119.55,,20,3,medical,2,male,,1,3, healthcare representative ,1,,9042.5,23510.5,2,yes,18,3.0,2,full time,1,,2,3.0,7,,0,7,1978,108510.0,no
430,49,No,travel_rarely,1079.83,,7,4,life sciences,3,male,134.98,3,3, healthcare representative ,2,divorced,,22676.33,3,,14,3.0,2,full time,2,29.0,3,3.0,8,,0,7,1974,104660.0,no
431,29,No,travel_rarely,556.26,,19,3,,3,male,69.53,2,2, sales executive ,3,,4492.84,11681.39,1,,14,3.0,3,part time,2,10.0,3,3.0,10,,0,4,1994,53914.11,yes
432,29,Yes,non_travel,243.7,,1,4,technical degree,1,male,,2,1, research scientist ,1,single,,5117.67,6,no,13,3.0,3,part time,0,,2,1.0,9,,0,7,1994,23620.0,yes
433,29,No,non_travel,556.26,,8,1,other,3,female,,1,2, healthcare representative ,1,,,11681.39,3,no,13,3.0,3,part time,1,9.0,3,3.0,7,,0,7,1994,53914.11,yes
434,40,No,travel_rarely,1582.77, human resources ,6,2,,3,male,197.85,3,4, manager ,4,single,12783.92,33238.2,1,yes,21,4.0,4,full time,0,21.0,2,3.0,21,,7,7,1983,153407.07,yes
435,48,No,non_travel,664.34, sales ,16,4,life sciences,3,female,,3,2, sales executive ,3,divorced,,13951.17,8,no,14,3.0,3,full time,1,18.0,2,,8,,7,7,1975,64390.0,yes
436,53,Yes,non_travel,1032.49,,2,5,,3,female,,2,3, manufacturing director ,4,married,,21682.23,0,,16,3.0,2,part time,1,,4,3.0,33,,1,9,1970,100071.84,yes
437,44,No,non_travel,1973.98,,7,3,medical,2,female,,3,5, research director ,4,,,41453.67,0,yes,14,,4,,1,,4,2.0,22,,1,10,1979,191324.62,no
438,45,No,non_travel,595.21,,5,5,,3,female,74.4,1,2, laboratory technician ,1,,,12499.5,1,,14,3.0,1,full time,0,10.0,3,3.0,10,,1,4,1978,57690.0,no
439,45,No,non_travel,452.42,,26,3,marketing,1,male,,2,2, sales executive ,1,,3654.17,9500.83,1,,15,,1,,1,10.0,2,,10,,4,5,1978,,no
440,34,No,travel_frequently,556.26,,10,4,,3,male,,4,2, manufacturing director ,4,,4492.84,11681.39,1,,13,3.0,1,part time,1,9.0,3,,9,,7,2,1989,53914.11,yes
441,39,No,non_travel,556.26, research & development ,10,5,medical,2,male,,3,2, manufacturing director ,1,,4492.84,11681.39,2,,13,3.0,4,,3,,3,3.0,7,,7,7,1984,,no
442,27,No,non_travel,419.51, research & development ,36,3,,36,male,,2,1, laboratory technician ,1,divorced,3388.33,8809.67,1,no,11,3.0,1,full time,2,7.0,3,3.0,7,,0,7,1996,40660.0,yes
443,45,No,travel_rarely,556.26,,2,2,,4,female,,2,2, manufacturing director ,4,divorced,4492.84,11681.39,1,,19,3.0,1,,2,10.0,3,3.0,10,,3,9,1978,,yes
444,44,No,non_travel,556.26,,1,5,,1,male,,3,2, human resources ,4,married,4492.84,11681.39,4,yes,11,3.0,3,,0,14.0,3,3.0,10,,0,2,1979,,yes
445,25,No,non_travel,537.13,,2,1,life sciences,4,male,67.14,4,2, manufacturing director ,3,divorced,4338.33,11279.67,1,,17,3.0,3,part time,2,7.0,6,3.0,7,,0,7,1998,52060.0,no
446,49,No,non_travel,1582.77,,1,3,,3,male,,3,4, manager ,3,single,12783.92,33238.2,4,,14,3.0,1,full time,0,23.0,2,3.0,8,,0,0,1974,153407.07,yes
447,48,Yes,travel_frequently,273.93,,7,2,,4,female,,3,1, sales representative ,3,,2212.5,5752.5,2,,11,,3,,2,19.0,3,3.0,9,,7,7,1975,,no
448,26,No,non_travel,265.16,,7,3,medical,4,male,,3,1, laboratory technician ,4,,2141.67,5568.33,1,no,20,4.0,3,part time,0,7.0,5,3.0,7,,5,7,1997,25700.0,yes
449,44,No,travel_rarely,1032.49,,2,3,life sciences,3,female,129.06,4,3, healthcare representative ,4,,8339.32,21682.23,1,,19,,2,part time,1,,2,3.0,8,,6,7,1979,100071.84,yes
450,36,No,non_travel,464.49,,2,4,,3,female,58.06,3,2, sales representative ,4,single,3751.67,9754.33,3,,15,,3,part time,0,17.0,2,2.0,13,,6,7,1987,45020.0,yes
451,46,No,non_travel,556.26, research & development ,13,4,,3,male,69.53,3,2, healthcare representative ,2,single,4492.84,11681.39,6,no,14,3.0,4,part time,0,19.0,3,3.0,10,,0,9,1977,53914.11,yes
452,35,No,non_travel,556.26,,27,4,life sciences,4,male,,3,2, manufacturing director ,3,married,4492.84,11681.39,2,,16,3.0,2,part time,1,17.0,3,3.0,7,,0,7,1988,53914.11,yes
453,30,No,travel_frequently,512.57,,2,4,,4,female,,2,1, research scientist ,1,,4140.0,10764.0,0,,16,3.0,4,,0,10.0,2,,9,,0,7,1993,49680.0,no
454,30,No,non_travel,1032.49,,15,2,marketing,3,male,,2,3, sales executive ,1,,8339.32,21682.23,2,no,11,3.0,1,part time,1,,2,3.0,7,,1,7,1993,100071.84,yes
455,33,No,non_travel,531.04,,2,3,marketing,4,female,,3,2, sales executive ,2,,4289.17,11151.83,8,no,15,3.0,4,part time,0,13.0,2,2.0,11,,1,7,1990,51470.0,yes
456,32,No,non_travel,280.43,,5,4,,2,male,35.05,3,1, research scientist ,2,single,2265.0,5889.0,2,no,14,3.0,2,part time,0,12.0,3,3.0,7,,0,7,1991,27180.0,yes
457,43,No,travel_rarely,365.13,,2,3,life sciences,2,male,,3,1, human resources ,4,,2949.17,7667.83,0,no,13,3.0,2,,0,,5,3.0,9,,1,8,1980,,no
458,31,No,travel_rarely,564.16,,29,4,marketing,1,female,,2,2, sales executive ,4,,4556.67,11847.33,1,,14,3.0,1,full time,2,,3,3.0,12,,5,7,1992,54680.0,yes
459,35,Yes,non_travel,599.75,,27,3,,3,male,,3,2, sales executive ,4,,4844.17,12594.83,1,,18,3.0,4,,0,,2,3.0,10,,7,7,1988,,no
460,35,No,non_travel,556.26, research & development ,2,2,medical,2,male,,3,2, manufacturing director ,4,divorced,4492.84,11681.39,2,no,14,3.0,3,,1,15.0,6,3.0,7,,1,7,1988,53914.11,no
461,30,No,non_travel,997.39,,10,3,medical,1,female,,3,3, manufacturing director ,3,single,8055.83,20945.17,9,no,14,3.0,2,part time,0,9.0,3,3.0,7,,0,2,1993,96670.0,no
462,46,Yes,travel_rarely,556.26,,19,2,medical,4,female,,3,2, healthcare representative ,2,married,4492.84,11681.39,4,no,22,4.0,4,,1,13.0,2,4.0,9,7.0,3,7,1977,,no
463,45,No,non_travel,531.76,,2,4,,3,female,,3,2, sales executive ,3,married,,11167.0,4,,22,4.0,2,part time,2,10.0,3,4.0,8,,5,7,1978,51540.0,no
464,43,No,travel_frequently,585.52,,2,4,life sciences,1,male,73.19,3,2, sales executive ,4,married,4729.17,12295.83,1,,20,4.0,3,full time,1,7.0,5,3.0,7,,7,7,1980,56750.0,no
465,46,Yes,non_travel,754.62,,10,3,life sciences,3,female,,3,3, sales executive ,2,,6095.0,15847.0,5,,21,4.0,3,part time,3,14.0,2,3.0,8,,0,7,1977,73140.0,yes
466,40,No,travel_rarely,1582.77, research & development ,1,4,,1,male,,3,4, manager ,1,,12783.92,33238.2,2,,11,3.0,1,,1,22.0,3,,19,,11,16,1983,,yes
467,27,No,travel_rarely,556.26, sales ,2,2,,1,female,,4,2, sales executive ,3,single,4492.84,11681.39,0,no,14,3.0,2,part time,0,9.0,5,2.0,8,,0,7,1996,53914.11,no
468,42,No,non_travel,1032.49,,6,3,medical,3,male,,3,3, research director ,1,married,8339.32,21682.23,9,no,13,3.0,2,,1,18.0,3,4.0,13,,5,7,1981,,yes
469,26,No,travel_frequently,290.04,,6,3,other,3,male,36.25,4,1, laboratory technician ,4,married,2342.59,6090.75,0,no,18,3.0,1,part time,1,8.0,3,3.0,7,,7,7,1997,28111.13,yes
470,28,No,travel_frequently,556.26,,1,2,life sciences,3,male,69.53,2,2, sales executive ,4,married,,11681.39,1,,12,3.0,3,part time,1,7.0,2,3.0,7,,0,7,1995,53914.11,yes
471,47,No,non_travel,556.26,,14,4,,3,male,69.53,3,2, research scientist ,2,married,4492.84,11681.39,8,,18,3.0,3,part time,1,,4,4.0,8,,1,7,1976,53914.11,no
472,34,No,travel_rarely,1032.49,,13,4,medical,4,male,,3,3, sales executive ,3,divorced,8339.32,21682.23,1,no,18,3.0,3,part time,1,9.0,2,2.0,8,,1,1,1989,100071.84,yes
473,26,No,non_travel,290.04, research & development ,1,3,medical,3,male,,3,1, laboratory technician ,1,single,2342.59,6090.75,0,no,13,3.0,4,part time,0,8.0,6,,7,,7,6,1997,28111.13,yes
474,27,No,travel_rarely,556.26,,9,3,,4,male,,3,2, sales executive ,4,,,11681.39,1,,14,3.0,1,part time,0,,5,,7,,0,7,1996,53914.11,no
475,31,Yes,travel_frequently,556.26, sales ,26,4,marketing,1,male,,3,2, sales executive ,4,,4492.84,11681.39,1,yes,11,3.0,3,part time,0,10.0,4,3.0,10,,0,8,1992,53914.11,yes
476,33,No,travel_frequently,556.26,,7,2,life sciences,4,male,,3,2, healthcare representative ,3,divorced,4492.84,11681.39,1,,20,,3,,3,9.0,2,3.0,9,,2,8,1990,,yes
477,31,No,non_travel,1032.49,,10,3,,3,female,,3,3, research director ,3,married,8339.32,21682.23,4,no,20,4.0,3,part time,1,13.0,2,4.0,11,,4,8,1992,100071.84,yes
478,35,No,non_travel,525.98,,9,4,medical,2,male,,3,2, research scientist ,3,,,11045.67,1,no,19,3.0,2,part time,0,10.0,5,3.0,10,,0,8,1988,50980.0,yes
479,33,No,travel_rarely,556.26,,15,2,,2,female,,3,2, healthcare representative ,4,married,4492.84,11681.39,0,yes,13,,1,part time,1,,6,3.0,9,,8,1,1990,53914.11,yes
480,39,No,travel_rarely,556.26,,24,1,life sciences,1,male,,3,2, research scientist ,4,single,4492.84,11681.39,7,no,13,,1,,0,,2,3.0,7,,1,7,1984,,no
481,36,No,travel_rarely,1032.49,,46,3,,46,female,129.06,2,3, sales executive ,4,married,,21682.23,0,no,19,3.0,3,part time,2,10.0,2,3.0,9,,3,4,1987,100071.84,yes
482,41,No,travel_rarely,1400.08,,28,4,life sciences,1,female,,2,4, manufacturing director ,2,married,11308.33,29401.67,0,no,23,,3,full time,1,21.0,3,3.0,20,,0,10,1982,135700.0,yes
483,34,No,non_travel,692.51, sales ,28,3,marketing,4,female,,2,2, sales executive ,3,married,,14542.67,1,no,21,4.0,4,full time,2,8.0,2,3.0,8,,1,7,1989,67120.0,no
484,38,No,travel_rarely,556.26,,10,2,,1,female,,3,2, sales executive ,4,married,4492.84,11681.39,1,no,11,3.0,3,,1,10.0,1,3.0,10,,1,9,1985,,yes
485,39,No,travel_rarely,1030.82,,6,1,,4,male,,2,3, healthcare representative ,1,,8325.83,21647.17,4,,15,3.0,1,part time,1,,5,3.0,7,,1,7,1984,99910.0,yes
486,34,No,travel_rarely,1032.49,,7,4,,1,female,,3,3, research director ,2,single,,21682.23,0,no,11,,3,part time,0,,4,3.0,12,6.0,2,11,1989,100071.84,no
487,44,No,travel_rarely,1057.33,,7,4,medical,1,female,,2,3, healthcare representative ,4,married,8540.0,22204.0,3,,14,,4,full time,1,24.0,4,3.0,22,,5,17,1979,102480.0,yes
488,46,No,non_travel,556.26,,5,4,,1,male,,3,2, sales executive ,4,single,4492.84,11681.39,4,,21,,3,part time,0,14.0,4,3.0,9,,0,8,1977,53914.11,yes
489,41,No,travel_frequently,1582.77, research & development ,10,3,life sciences,4,male,197.85,2,4, manager ,1,divorced,,33238.2,4,,13,3.0,2,full time,1,,2,2.0,7,,7,7,1982,153407.07,no
490,39,No,non_travel,1128.52, research & development ,2,4,,3,female,,3,3, healthcare representative ,3,single,9115.0,23699.0,0,no,25,4.0,4,,0,20.0,1,3.0,19,,11,8,1984,,no
491,42,No,travel_rarely,267.53,,2,3,medical,4,female,,2,1, laboratory technician ,1,divorced,2160.83,5618.17,0,yes,11,3.0,3,part time,1,10.0,4,3.0,9,,7,8,1981,25930.0,yes
492,33,No,travel_frequently,1225.51, research & development ,5,4,,4,female,,3,3, manager ,2,married,9898.33,25735.67,6,,11,,2,,2,12.0,2,3.0,10,,8,8,1990,,yes
493,35,No,travel_rarely,835.2,,5,4,technical degree,3,male,,3,3, manufacturing director ,2,single,6745.83,17539.17,0,no,13,3.0,4,part time,0,17.0,5,3.0,16,,0,13,1988,80950.0,yes
494,33,Yes,travel_rarely,1032.49,,15,1,medical,2,male,,3,3, manager ,3,married,,21682.23,7,,12,3.0,4,part time,0,15.0,2,4.0,7,,7,7,1990,100071.84,yes
495,40,No,travel_rarely,1582.77,,6,3,life sciences,2,female,,3,4, manufacturing director ,3,single,,33238.2,7,no,15,3.0,3,full time,0,22.0,3,3.0,20,,5,13,1983,153407.07,no
496,41,No,travel_rarely,1973.98,,10,4,human resources,2,male,,2,5, manager ,4,divorced,15943.72,41453.67,3,no,15,3.0,2,full time,3,23.0,2,2.0,21,,12,6,1982,191324.62,no
497,27,No,non_travel,556.26,,7,3,,4,female,,2,2, healthcare representative ,1,,,11681.39,8,no,19,3.0,1,part time,0,,2,1.0,7,,0,7,1996,53914.11,no
498,52,No,travel_rarely,1739.11,,3,4,marketing,3,male,,2,4, manager ,1,,14046.67,36521.33,1,,11,3.0,1,full time,0,,3,4.0,34,,1,16,1971,168560.0,yes
499,51,No,travel_rarely,1582.77,,26,4,marketing,1,female,197.85,3,4, manager ,3,married,12783.92,33238.2,2,no,14,3.0,3,full time,1,,2,2.0,20,,4,17,1972,153407.07,no
500,47,No,travel_rarely,468.1,,2,2,marketing,3,female,,3,2, sales executive ,4,,3780.83,9830.17,0,,22,4.0,1,part time,1,8.0,2,3.0,7,,7,7,1976,45370.0,yes
501,50,No,non_travel,1849.3, research & development ,2,4,,1,male,,3,4, manager ,1,divorced,,38835.33,1,,11,3.0,4,full time,1,31.0,3,3.0,31,,14,7,1973,179240.0,no
502,35,No,travel_rarely,414.14, research & development ,21,1,life sciences,4,female,,3,2, healthcare representative ,4,married,3345.0,8697.0,1,,25,4.0,4,part time,1,10.0,2,1.0,10,,0,7,1988,40140.0,yes
503,39,No,travel_rarely,1314.65,,1,1,,4,female,164.33,2,4, manufacturing director ,4,married,10618.33,27607.67,1,no,16,3.0,3,full time,1,,3,3.0,21,,11,8,1984,127420.0,yes
504,39,No,travel_frequently,1032.49,,22,3,medical,4,female,,3,3, manufacturing director ,1,single,8339.32,21682.23,1,,13,3.0,3,part time,0,,2,3.0,21,,2,8,1984,100071.84,no
505,41,No,non_travel,348.32,,7,2,,2,female,43.54,4,1, research scientist ,3,,,7314.67,1,no,13,3.0,3,full time,0,,3,3.0,10,,0,8,1982,33760.0,no
506,44,Yes,non_travel,1081.48, human resources ,1,2,medical,2,male,,2,3, human resources ,1,married,8735.0,22711.0,9,no,14,,4,full time,1,24.0,1,3.0,20,,3,6,1979,104820.0,yes
507,42,No,non_travel,1582.77,,2,2,medical,4,male,,3,4, manager ,1,,12783.92,33238.2,0,no,17,3.0,4,,1,23.0,3,3.0,22,,13,7,1981,,no
508,52,No,travel_rarely,1032.49,,7,4,life sciences,2,male,,3,3, healthcare representative ,2,single,,21682.23,7,,19,3.0,4,part time,0,18.0,4,,8,,4,0,1971,100071.84,yes
509,38,No,non_travel,290.04,,1,3,,3,male,36.25,4,1, human resources ,3,,2342.59,6090.75,1,no,13,3.0,4,part time,1,7.0,2,4.0,7,,5,0,1985,28111.13,yes
510,46,No,non_travel,290.04, human resources ,1,2,life sciences,4,female,36.25,3,1, human resources ,1,,,6090.75,6,,12,3.0,3,part time,0,10.0,3,4.0,7,,5,7,1977,28111.13,yes
511,35,No,non_travel,438.39,,4,4,life sciences,3,male,54.8,3,2, research scientist ,3,single,3540.83,9206.17,1,,11,3.0,2,part time,0,,3,3.0,9,,1,1,1988,42490.0,no
512,28,No,travel_rarely,675.69, research & development ,29,1,life sciences,3,male,,1,2, manufacturing director ,2,married,5457.5,14189.5,1,,14,,2,,2,8.0,2,2.0,8,,1,7,1995,,yes
513,44,No,non_travel,1582.77,,28,3,life sciences,4,male,,3,4, research director ,1,married,12783.92,33238.2,3,no,13,3.0,3,,1,,1,4.0,20,,14,17,1979,,yes
514,50,No,non_travel,1486.85,,22,5,,3,male,,1,4, research director ,4,,12009.17,31223.83,1,,13,3.0,4,,0,,2,3.0,32,,13,9,1973,,no
515,55,No,travel_rarely,2020.78,,23,5,marketing,3,male,252.6,2,5, manager ,4,,,42436.33,1,no,21,4.0,3,full time,1,36.0,3,3.0,36,,2,13,1968,195860.0,yes
516,39,No,non_travel,849.85, sales ,6,3,,4,male,,4,3, sales executive ,3,married,6864.17,17846.83,2,no,11,3.0,1,part time,1,11.0,3,3.0,7,,7,6,1984,82370.0,yes
517,49,No,non_travel,331.29, research & development ,13,4,,13,female,,3,1, laboratory technician ,1,,2675.83,6957.17,1,,14,3.0,4,,1,10.0,3,2.0,9,,1,4,1974,,yes
518,45,No,non_travel,1723.43,,28,2,technical degree,4,female,,2,4, research director ,2,single,13920.0,36192.0,1,,11,,3,,0,21.0,2,3.0,21,6.0,8,6,1978,,no
519,46,No,non_travel,1032.49,,2,3,,3,male,,3,3, sales executive ,4,,8339.32,21682.23,4,,12,3.0,2,part time,1,,5,2.0,10,,0,3,1977,100071.84,no
520,27,No,non_travel,492.56,,15,3,,4,female,,2,1, research scientist ,1,married,,10343.67,0,no,19,3.0,4,full time,1,,2,,7,,7,3,1996,47740.0,no
521,42,No,travel_rarely,1973.98,,2,3,,1,male,,3,5, manager ,3,married,15943.72,41453.67,5,,11,3.0,1,,0,24.0,2,2.0,22,,4,14,1981,,yes
522,49,No,non_travel,556.26, sales ,2,3,,4,male,,2,2, sales executive ,2,married,,11681.39,2,,14,3.0,4,part time,0,17.0,3,2.0,9,,0,8,1974,53914.11,yes
523,29,No,travel_rarely,556.26,,15,2,life sciences,4,female,,2,2, laboratory technician ,3,single,,11681.39,0,yes,12,3.0,4,part time,0,10.0,3,3.0,9,,0,8,1994,53914.11,yes
524,34,No,non_travel,471.3,,12,4,marketing,12,male,,3,2, sales executive ,3,,3806.67,9897.33,0,no,20,4.0,3,part time,0,,2,3.0,9,,8,7,1989,45680.0,no
525,37,No,non_travel,618.33,,1,4,,1,male,,2,2, manufacturing director ,3,divorced,4994.17,12984.83,1,no,18,3.0,3,,1,,2,,7,,0,7,1986,59930.0,no
526,36,No,non_travel,670.53,,11,3,,2,male,83.82,2,2, manufacturing director ,2,single,5415.83,14081.17,1,no,13,3.0,3,full time,0,6.0,3,3.0,6,,0,3,1987,64990.0,yes
527,45,No,non_travel,356.16,,29,3,,3,male,,3,1, research scientist ,4,single,,7479.33,5,,13,3.0,2,full time,0,9.0,2,2.0,6,,0,3,1978,34520.0,yes
528,29,No,travel_rarely,290.04,,15,3,,3,male,,3,1, research scientist ,4,,,6090.75,1,no,19,3.0,1,part time,0,6.0,1,3.0,6,,1,5,1994,28111.13,no
529,26,No,non_travel,660.01,,1,3,,3,female,,3,2, manufacturing director ,2,,5330.83,13860.17,1,no,20,4.0,1,full time,1,6.0,6,1.0,6,,1,4,1997,63970.0,no
530,28,No,non_travel,556.26,,9,4,life sciences,2,male,,3,2, sales executive ,4,single,,11681.39,1,no,16,3.0,4,part time,0,,1,3.0,7,,0,7,1995,53914.11,yes
531,42,No,travel_frequently,556.26,,30,4,technical degree,4,female,,2,2, healthcare representative ,4,married,,11681.39,0,no,11,3.0,4,,3,7.0,4,4.0,6,,0,4,1981,53914.11,yes
532,31,No,travel_rarely,556.26, sales ,2,1,life sciences,2,male,,3,2, sales executive ,4,,,11681.39,4,yes,13,3.0,3,part time,0,10.0,2,4.0,6,,0,5,1992,53914.11,yes
533,37,No,travel_rarely,1032.49,,47,3,,47,female,,3,3, manufacturing director ,4,single,8339.32,21682.23,4,,17,3.0,4,part time,0,,3,4.0,6,,1,2,1986,100071.84,yes
534,37,No,non_travel,1032.49,,9,4,,1,male,,3,3, sales executive ,2,divorced,,21682.23,1,no,13,3.0,4,part time,1,9.0,6,3.0,9,,7,7,1986,100071.84,no
535,37,No,travel_rarely,556.26,,1,4,life sciences,2,female,69.53,3,2, manufacturing director ,2,married,4492.84,11681.39,6,,12,3.0,2,part time,1,8.0,2,2.0,6,,4,3,1986,53914.11,no
536,24,No,travel_rarely,281.15,,23,3,medical,2,male,,4,1, research scientist ,4,,,5904.17,1,,11,3.0,2,part time,2,,3,3.0,6,,1,4,1999,27250.0,yes
537,50,No,non_travel,1973.98,,3,3,,1,male,,3,5, manager ,2,married,15943.72,41453.67,1,no,11,3.0,3,,1,,2,3.0,32,,10,7,1973,,no
538,34,No,non_travel,373.7,,1,2,life sciences,2,male,46.71,2,1, research scientist ,4,,3018.33,7847.67,1,yes,13,3.0,4,full time,1,6.0,3,3.0,6,,1,3,1989,36220.0,yes
539,27,No,travel_frequently,556.26,,3,1,medical,4,female,,4,2, sales executive ,4,,,11681.39,1,,20,,2,,2,,3,3.0,6,,0,4,1996,53914.11,no
540,25,No,non_travel,637.62, sales ,42,1,,42,female,,3,2, sales executive ,4,single,,13390.0,1,no,23,4.0,2,full time,0,6.0,5,2.0,6,,1,4,1998,61800.0,no
541,34,No,non_travel,647.32, sales ,25,3,other,4,male,,3,2, sales executive ,4,single,5228.33,13593.67,1,no,22,4.0,3,full time,0,6.0,5,3.0,6,,1,4,1989,62740.0,yes
542,34,No,non_travel,452.01, research & development ,2,4,,3,female,,2,1, research scientist ,1,,,9492.17,1,,11,,3,full time,0,6.0,3,3.0,6,,1,3,1989,43810.0,yes
543,35,No,non_travel,1032.49,,7,3,other,3,male,,3,3, manufacturing director ,3,single,8339.32,21682.23,3,no,21,4.0,2,,0,17.0,3,4.0,8,,1,6,1988,,no
544,35,No,non_travel,264.02,,16,1,medical,16,female,33.0,2,1, research scientist ,1,,,5544.5,1,,11,3.0,4,part time,0,6.0,3,2.0,6,,1,1,1988,25590.0,no
545,33,No,non_travel,566.22, research & development ,1,4,,3,female,70.78,4,2, healthcare representative ,2,married,4573.33,11890.67,1,yes,13,3.0,1,full time,1,,2,3.0,6,,1,2,1990,54880.0,yes
546,29,No,non_travel,259.38,,28,4,life sciences,3,female,,3,1, research scientist ,4,divorced,2095.0,5447.0,4,no,22,4.0,1,part time,1,11.0,1,3.0,7,,1,7,1994,25140.0,no
547,29,No,travel_frequently,290.04, research & development ,10,3,,4,female,,3,1, research scientist ,2,divorced,2342.59,6090.75,0,no,14,3.0,4,part time,2,8.0,2,2.0,7,,1,1,1994,28111.13,yes
548,34,No,non_travel,556.26,,9,1,life sciences,2,female,69.53,3,2, sales executive ,3,married,4492.84,11681.39,1,,20,4.0,1,part time,0,,3,2.0,6,,1,3,1989,53914.11,no
549,28,No,travel_rarely,329.75,,19,4,medical,4,male,,2,1, laboratory technician ,1,married,2663.33,6924.67,1,,12,3.0,3,,3,6.0,2,3.0,6,,3,3,1995,31960.0,no
550,44,No,non_travel,290.04,,2,1,life sciences,1,female,,4,1, research scientist ,4,married,,6090.75,1,,13,3.0,4,part time,1,10.0,5,3.0,10,,7,7,1979,28111.13,no
551,31,No,travel_rarely,556.26, research & development ,11,2,,3,male,69.53,3,2, healthcare representative ,1,married,4492.84,11681.39,1,yes,12,,4,part time,0,6.0,2,2.0,6,,0,1,1992,53914.11,no
552,26,No,non_travel,290.04, research & development ,4,2,life sciences,3,male,36.25,3,1, research scientist ,4,,2342.59,6090.75,1,yes,20,4.0,2,part time,0,,2,2.0,8,,2,2,1997,28111.13,no
553,47,No,travel_rarely,352.86,,1,3,,1,male,,3,1, research scientist ,4,,2850.0,7410.0,7,no,12,3.0,3,full time,1,17.0,2,2.0,6,,1,2,1976,34200.0,yes
554,37,No,non_travel,290.04, research & development ,5,2,,3,male,,4,1, laboratory technician ,3,single,2342.59,6090.75,0,no,14,3.0,1,part time,0,7.0,2,1.0,6,,1,3,1986,28111.13,no
555,32,No,non_travel,421.67,,1,4,,4,male,,3,2, research scientist ,1,married,3405.83,8855.17,4,,14,3.0,2,,1,9.0,3,2.0,6,,1,2,1991,,yes
